kepid,kepoi_name,ra,dec,koi_period,koi_prad,koi_disposition_pred
10811496,K00753.01,297.00482,48.134129,19.89913995,14.6,CONFIRMED
11818800,K00777.01,294.31686,50.080231,40.4195037,7.51,FALSE POSITIVE
11918099,K00780.02,293.83331,50.23035,7.2406612,19.45,FALSE POSITIVE
9579641,K00115.03,287.88733,46.276241,3.43591631,0.55,CONFIRMED
3115833,K00797.01,291.28195,38.241669,10.181584004,7.73,FALSE POSITIVE
3453214,K00802.01,293.81619,38.563568,19.620346923,13.6,CONFIRMED
4544670,K00815.01,285.92001,39.624828,34.84398644,7.61,CONFIRMED
4936180,K00820.01,295.11371,40.071171,4.64090031,30.09,FALSE POSITIVE
5115978,K00823.01,296.00699,40.295429,1.028436523,72.77,FALSE POSITIVE
6867155,K00868.01,293.00797,42.307201,235.9986399,10.59,CONFIRMED
6526710,K00856.01,293.17929,41.969238,39.74893077,14.21,FALSE POSITIVE
6599919,K00858.01,289.89777,42.009151,13.61014819,19.02,FALSE POSITIVE
6862328,K00865.01,291.58377,42.36816,119.0207044,8.98,CONFIRMED
7031517,K00871.01,291.11969,42.507069,12.940668656,22.94,FALSE POSITIVE
7380537,K00883.01,296.68307,42.967869,2.688899233,12.04,FALSE POSITIVE
8013419,K00901.01,285.16748,43.876339,12.732624065,4.87,CONFIRMED
8018547,K00902.01,287.85239,43.897991,83.92494032,4.78,CONFIRMED
8552202,K00914.01,288.72665,44.60751,3.886655224,1.87,CONFIRMED
9140402,K00928.01,284.75943,45.599129,2.494170338,2.42,CONFIRMED
8951215,K00924.01,291.20804,45.244389,39.4759093,4.06,CONFIRMED
9347899,K00935.04,294.02301,45.853081,9.61731426,1.94,CONFIRMED
2860866,K01103.01,293.22391,38.033581,90.1240507,7.12,CONFIRMED
10460629,K01168.01,287.58679,47.600021,856.672115,3.87,FALSE POSITIVE
10319385,K01169.01,281.55118,47.469959,0.689210173,1.32,CONFIRMED
11502218,K00970.01,289.09323,49.424484,3.9886021,34.39,FALSE POSITIVE
11180361,K00971.01,286.0192,48.866741,0.533059312,133.56,FALSE POSITIVE
10287723,K01174.01,296.82162,47.354031,129995.7784,2.99,FALSE POSITIVE
11013201,K00972.01,282.00031,48.542221,13.118962443,8.25,FALSE POSITIVE
11013201,K00972.02,282.00031,48.542221,7.82187328,2.78,FALSE POSITIVE
9414417,K00974.01,295.80267,45.988079,53.5057611,2.52,CONFIRMED
2307199,K00151.01,292.37476,37.630959,13.4471791,5.24,FALSE POSITIVE
2853446,K01118.01,291.65097,38.028179,7.37290344,2.67,CONFIRMED
3942446,K01193.01,287.88812,39.078709,119.0624882,10.4,FALSE POSITIVE
3554031,K01194.02,293.80441,38.63913,14.8623076,1.57,CONFIRMED
10743597,K00989.03,296.38229,48.045311,16.15811112,86.13,CONFIRMED
3644071,K01192.01,291.03217,38.703911,1295.362215,57.82,FALSE POSITIVE
1431122,K00994.01,291.14249,37.061321,4.2989201,2.12,FALSE POSITIVE
8260218,K01066.01,299.78632,44.16954,5.714817603,9.29,FALSE POSITIVE
6359320,K01127.03,290.21518,41.77597,2.83668931,1.19,CONFIRMED
3447722,K01198.04,292.47971,38.514919,1.00861677,nan,FALSE POSITIVE
12105051,K00141.01,288.0383,50.651611,2.624234833,5.11,CONFIRMED
8240904,K01070.03,294.48438,44.166908,92.77779,1.92,FALSE POSITIVE
3756801,K01206.01,293.95459,38.899971,422.917678,5.89,FALSE POSITIVE
8313667,K01145.01,296.54861,44.264671,30.5872153,2.32,CONFIRMED
10149023,K01081.01,294.76855,47.13279,9.95639775,28.15,FALSE POSITIVE
9772531,K00950.01,292.65704,46.537338,31.201692472,8.31,CONFIRMED
10295951,K01154.01,299.10281,47.377781,6.810823723,26.06,FALSE POSITIVE
3329204,K01095.01,287.61688,38.402321,51.59809554,6.57,CONFIRMED
3230491,K01096.01,290.18304,38.321941,1500.0,9.8,FALSE POSITIVE
2162635,K01032.01,291.97754,37.532551,1500.1406772,18.35,FALSE POSITIVE
6837146,K01362.01,281.60541,42.390419,20.51360192,2.58,CONFIRMED
6607286,K01239.01,292.17859,42.005909,0.783276173,1.98,CONFIRMED
6607286,K01239.02,292.17859,42.005909,3.17405898,2.09,CONFIRMED
11075279,K01431.01,287.02228,48.681938,345.1589354,7.79,CONFIRMED
6607447,K01242.01,292.22839,42.03537,99.6442783,8.48,CONFIRMED
6441738,K01246.01,291.42755,41.878159,19.03723442,5.74,CONFIRMED
8616873,K01251.01,288.70087,44.70768,0.576078683,23.23,FALSE POSITIVE
8494263,K01255.01,291.44522,44.52869,78.9257421,11.9,CONFIRMED
10928043,K01315.01,295.29385,48.374802,6.84639884,1.9,FALSE POSITIVE
10794087,K01316.02,290.55237,48.126263,12.37679312,nan,FALSE POSITIVE
8813698,K01268.01,289.88962,45.005669,268.9410974,13.57,CONFIRMED
4074736,K01328.01,295.80585,39.17799,80.9669561,5.04,CONFIRMED
4274548,K01331.01,294.50842,39.398682,6.80082032,1.88,FALSE POSITIVE
11336883,K01445.02,283.9368,49.110329,54.325574,0.76,FALSE POSITIVE
11336883,K01445.03,283.9368,49.110329,20.01959599,nan,FALSE POSITIVE
8631160,K01271.01,294.2655,44.7943,162.0479502,11.52,CONFIRMED
9202151,K01393.01,283.55554,45.614262,1.694740233,2.12,CONFIRMED
4760746,K01455.01,295.4783,39.867722,15.068060768,16.43,FALSE POSITIVE
9427402,K01397.01,299.6777,45.972328,6.247030799,1.89,CONFIRMED
3962440,K01208.01,293.61877,39.022572,700.00298217,6.43,FALSE POSITIVE
3534076,K01209.01,288.31436,38.693291,272.0868353,5.95,FALSE POSITIVE
4466677,K01338.02,292.27612,39.550179,42.0370662,1.66,CONFIRMED
4466677,K01338.03,292.27612,39.550179,21.0112068,1.4,CONFIRMED
9100484,K01399.01,295.76083,45.45739,8.75059775,2.27,FALSE POSITIVE
6620003,K01225.01,295.62222,42.09288,1.714274727,25.0,FALSE POSITIVE
7363829,K01356.01,292.1199,42.931679,384.02570682,nan,FALSE POSITIVE
6719086,K01357.01,298.45953,42.187431,3.014330766,2.87,CONFIRMED
11026304,K01420.01,290.1127,48.577782,13.35151248,4.44,CONFIRMED
11342550,K01421.01,287.65045,49.156052,1693.6636225,10.23,FALSE POSITIVE
6946199,K01359.02,291.02069,42.46244,104.8205868,6.45,CONFIRMED
10867062,K01303.01,294.23007,48.204479,34.2966363,3.29,CONFIRMED
8046659,K01560.01,297.41965,43.876579,31.56904354,11.18,FALSE POSITIVE
7841925,K01499.02,297.72427,43.527431,0.840594032,0.62,CONFIRMED
4276716,K01619.01,294.99023,39.346378,20.6654374,0.66,CONFIRMED
7287683,K01622.01,293.54889,42.888859,69.8347983,3.51,CONFIRMED
8266276,K01731.01,301.4693,44.159649,2.59488443,2.36,CONFIRMED
8396405,K01733.01,301.08572,44.380192,19.18109525,1.72,CONFIRMED
7199906,K01739.01,291.65009,42.700779,220.65651253,nan,FALSE POSITIVE
9017682,K01630.01,290.25964,45.388409,11.30507984,1.4,CONFIRMED
10749128,K01639.02,297.90045,48.0947,9.9824036,1.17,FALSE POSITIVE
11904734,K01764.01,286.0528,50.256592,12.681733929,7.25,CONFIRMED
10153011,K01773.01,296.0882,47.142891,83.09708021,13.83,FALSE POSITIVE
11870545,K01510.01,295.08423,50.114609,0.839961456,1.63,FALSE POSITIVE
5031857,K01573.02,296.84616,40.138611,7.136922,1.38,CONFIRMED
10028792,K01574.03,297.91687,46.96513,5.83393857,1.98,CONFIRMED
11153121,K01647.03,298.29495,48.775459,6.33027476,1.02,CONFIRMED
6705142,K01758.01,295.43436,42.166321,5.59728249,3.28,CONFIRMED
