kepid,kepoi_name,koi_disposition,koi_period,koi_time0bk,koi_time0,koi_impact,koi_duration,koi_depth,koi_ror,koi_srho,koi_fittype,koi_prad,koi_sma,koi_incl,koi_teq,koi_insol,koi_dor,koi_ldm_coeff1,koi_ldm_coeff2,koi_parm_prov,koi_period_err1,koi_period_err2,koi_time0bk_err1,koi_time0bk_err2,koi_impact_err1,koi_impact_err2,koi_duration_err1,koi_duration_err2,koi_depth_err1,koi_depth_err2,koi_ror_err1,koi_ror_err2,koi_srho_err1,koi_srho_err2,koi_prad_err1,koi_prad_err2,koi_dor_err1,koi_dor_err2,koi_max_sngle_ev,koi_max_mult_ev,koi_model_snr,koi_count,koi_num_transits,koi_steff,koi_slogg,koi_smet,koi_srad,koi_smass,koi_sparprov,koi_steff_err1,koi_steff_err2,koi_slogg_err1,koi_slogg_err2,koi_smet_err1,koi_smet_err2,koi_srad_err1,koi_srad_err2,koi_smass_err1,koi_smass_err2,ra,dec,koi_kepmag,koi_gmag,koi_rmag,koi_imag,koi_zmag,koi_jmag,koi_hmag,koi_kmag,ra_err,dec_err,koi_kepmag_err,koi_gmag_err,koi_rmag_err,koi_imag_err,koi_zmag_err,koi_jmag_err,koi_hmag_err,koi_kmag_err,koi_fwm_sra,koi_fwm_sdec,koi_fwm_srao,koi_fwm_sdeco,koi_fwm_prao,koi_fwm_pdeco,koi_fwm_stat_sig,koi_dicco_mra,koi_dicco_mdec,koi_dicco_msky,koi_dikco_mra,koi_dikco_mdec,koi_dikco_msky
10797460,K00752.01,CONFIRMED,9.48803557,170.53875,2455003.539,0.146,2.9575,615.8,0.022344,3.20796,LS+MCMC,2.26,0.0853,89.66,793.0,93.59,24.81,0.4603,0.2291,q1_q17_dr25_koi,2.775e-05,-2.775e-05,0.00216,-0.00216,0.318,-0.146,0.0819,-0.0819,19.5,-19.5,0.000832,-0.000528,0.33173,-1.09986,0.26,-0.15,2.6,-2.6,5.135849,28.47082,35.8,2,142.0,5455.0,4.467,0.14,0.927,0.919,q1_q17_dr25_stellar,81.0,-81.0,0.064,-0.096,0.15,-0.15,0.105,-0.061,0.052,-0.046,291.93423,48.141651,15.347,15.89,15.27,15.114,15.006,14.082,13.751,13.648,0.0,0.0,,,,,,0.025,0.03,0.054,19.462294,48.14191,0.43,0.94,-0.0002,-0.00055,0.002,-0.01,0.2,0.2,0.08,0.31,0.32
10797460,K00752.02,CONFIRMED,54.4183827,162.51384,2454995.514,0.586,4.507,874.8,0.027954,3.02368,LS+MCMC,2.83,0.2734,89.57,443.0,9.11,77.9,0.4603,0.2291,q1_q17_dr25_koi,0.0002479,-0.0002479,0.00352,-0.00352,0.059,-0.443,0.116,-0.116,35.5,-35.5,0.009078,-0.001347,2.20489,-2.49638,0.32,-0.19,28.4,-28.4,7.027669,20.109507,25.8,2,25.0,5455.0,4.467,0.14,0.927,0.919,q1_q17_dr25_stellar,81.0,-81.0,0.064,-0.096,0.15,-0.15,0.105,-0.061,0.052,-0.046,291.93423,48.141651,15.347,15.89,15.27,15.114,15.006,14.082,13.751,13.648,0.0,0.0,,,,,,0.025,0.03,0.054,19.462265,48.14199,-0.63,1.23,0.00066,-0.00105,0.003,0.39,0.0,0.39,0.49,0.12,0.5
10811496,K00753.01,CANDIDATE,19.89913995,175.850252,2455008.85,0.969,1.7822,10829.0,0.154046,7.29555,LS+MCMC,14.6,0.1419,88.96,638.0,39.3,53.5,0.3858,0.2711,q1_q17_dr25_koi,1.494e-05,-1.494e-05,0.000581,-0.000581,5.126,-0.077,0.0341,-0.0341,171.0,-171.0,5.034292,-0.042179,35.03293,-2.75453,3.92,-1.31,25.7,-25.7,37.159767,187.4491,76.3,1,56.0,5853.0,4.544,-0.18,0.868,0.961,q1_q17_dr25_stellar,158.0,-176.0,0.044,-0.176,0.3,-0.3,0.233,-0.078,0.11,-0.121,297.00482,48.134129,15.436,15.943,15.39,15.22,15.166,14.254,13.9,13.826,0.0,0.0,,,,,,0.028,0.033,0.058,19.8003207,48.13412,-0.021,-0.038,0.0007,0.0006,0.278,-0.025,-0.034,0.042,0.002,-0.027,0.027
10848459,K00754.01,FALSE POSITIVE,1.736952453,170.307565,2455003.308,1.276,2.40641,8079.2,0.387394,0.2208,LS+MCMC,33.46,0.0267,67.09,1395.0,891.96,3.278,0.3556,0.2865,q1_q17_dr25_koi,2.63e-07,-2.63e-07,0.000115,-0.000115,0.115,-0.092,0.00537,-0.00537,12.8,-12.8,0.109232,-0.08495,0.00917,-0.01837,8.5,-2.83,0.136,-0.136,39.06655,541.8951,505.6,1,621.0,5805.0,4.564,-0.52,0.791,0.836,q1_q17_dr25_stellar,157.0,-174.0,0.053,-0.168,0.3,-0.3,0.201,-0.067,0.093,-0.077,285.53461,48.28521,15.597,16.1,15.554,15.382,15.266,14.326,13.911,13.809,0.0,0.0,,,,,,0.035,0.042,0.048,19.03563762,48.2852105,-0.111,0.002,0.00302,-0.00142,0.0,-0.249,0.147,0.289,-0.257,0.099,0.276
10854555,K00755.01,CONFIRMED,2.525591777,171.59555,2455004.596,0.701,1.6545,603.3,0.024064,1.98635,LS+MCMC,2.75,0.0374,85.41,1406.0,926.16,8.75,0.3661,0.2844,q1_q17_dr25_koi,3.761e-06,-3.761e-06,0.00113,-0.00113,0.235,-0.478,0.042,-0.042,16.9,-16.9,0.003751,-0.001522,2.71141,-1.74541,0.88,-0.35,4.0,-4.0,4.749945,33.1919,40.9,1,515.0,6031.0,4.438,0.07,1.046,1.095,q1_q17_dr25_stellar,169.0,-211.0,0.07,-0.21,0.25,-0.3,0.334,-0.133,0.151,-0.136,288.75488,48.2262,15.509,16.015,15.468,15.292,15.241,14.366,14.064,13.952,0.0,0.0,,,,,,0.033,0.047,0.047,19.2503258,48.22626,-0.01,0.23,8e-05,-7e-05,0.733,0.03,-0.09,0.1,0.07,0.02,0.07
10872983,K00756.01,CONFIRMED,11.09432054,171.20116,2455004.201,0.538,4.5945,1517.5,0.036779,0.67324,LS+MCMC,3.9,0.0992,88.11,835.0,114.81,16.36,0.3511,0.2889,q1_q17_dr25_koi,2.036e-05,-2.036e-05,0.00141,-0.00141,0.03,-0.428,0.061,-0.061,24.2,-24.2,0.005115,-0.001065,0.33286,-0.38858,1.27,-0.42,8.1,-8.1,9.046456,55.204865,66.5,3,95.0,6046.0,4.486,-0.08,0.972,1.053,q1_q17_dr25_stellar,189.0,-232.0,0.054,-0.229,0.25,-0.3,0.315,-0.105,0.135,-0.15,296.28613,48.22467,15.714,16.234,15.677,15.492,15.441,14.528,14.113,14.132,0.0,0.0,,,,,,0.029,0.039,0.072,19.7524061,48.22471,-0.12,0.14,4e-05,,,0.04,-0.07,0.08,-0.02,-0.08,0.08
10872983,K00756.02,CONFIRMED,4.13443512,172.97937,2455005.979,0.762,3.1402,686.0,0.026133,0.37377,LS+MCMC,2.77,0.0514,83.72,1160.0,427.65,6.96,0.3511,0.2889,q1_q17_dr25_koi,1.046e-05,-1.046e-05,0.0019,-0.0019,0.139,-0.532,0.0673,-0.0673,18.7,-18.7,0.001968,-0.002055,0.74768,-0.26357,0.9,-0.3,2.8,-2.8,5.500643,33.546658,40.2,3,240.0,6046.0,4.486,-0.08,0.972,1.053,q1_q17_dr25_stellar,189.0,-232.0,0.054,-0.229,0.25,-0.3,0.315,-0.105,0.135,-0.15,296.28613,48.22467,15.714,16.234,15.677,15.492,15.441,14.528,14.113,14.132,0.0,0.0,,,,,,0.029,0.039,0.072,19.752413,48.22458,0.14,-0.32,-0.00016,,,0.25,0.09,0.26,0.18,0.06,0.19
10872983,K00756.03,CONFIRMED,2.56658897,179.55437,2455012.554,0.755,2.429,226.5,0.014983,0.48909,LS+MCMC,1.59,0.0374,82.17,1360.0,807.74,5.54,0.3511,0.2889,q1_q17_dr25_koi,1.781e-05,-1.781e-05,0.00461,-0.00461,0.212,-0.523,0.165,-0.165,16.8,-16.8,0.003935,-0.001417,0.95593,-0.45121,0.52,-0.17,2.7,-2.7,4.3886313,12.325094,15.0,3,355.0,6046.0,4.486,-0.08,0.972,1.053,q1_q17_dr25_stellar,189.0,-232.0,0.054,-0.229,0.25,-0.3,0.315,-0.105,0.135,-0.15,296.28613,48.22467,15.714,16.234,15.677,15.492,15.441,14.528,14.113,14.132,0.0,0.0,,,,,,0.029,0.039,0.072,19.752412,48.22476,0.1,0.3,-4e-05,,,-0.33,-0.3,0.45,-0.41,-0.29,0.5
6721123,K00114.01,FALSE POSITIVE,7.36178958,132.25053,2454965.251,1.169,5.022,233.7,0.183387,0.00485,LS+MCMC,39.21,0.082,60.92,1342.0,767.22,2.4,0.3201,0.305,q1_q17_dr25_koi,2.128e-05,-2.128e-05,0.00253,-0.00253,7.133,-0.044,0.136,-0.136,5.8,-5.8,7.128076,-0.043131,0.27864,-0.00053,6.45,-9.67,1.2,-1.2,10.964684,46.15308,47.7,1,185.0,6227.0,3.986,0.0,1.958,1.358,q1_q17_dr25_stellar,111.0,-124.0,0.182,-0.098,0.15,-0.15,0.322,-0.483,0.121,-0.207,298.86435,42.151569,12.66,12.999,12.609,12.515,12.48,11.659,11.415,11.396,0.0,0.0,,,,,,0.026,0.029,0.02,19.9239534,42.158262,-13.45,24.09,0.003032,-0.005549,0.0,-4.506,7.71,8.93,-4.537,7.713,8.948
10910878,K00757.01,CONFIRMED,16.06864674,173.621937,2455006.622,0.052,3.5347,4914.3,0.062161,3.6659,LS+MCMC,5.76,0.1158,89.92,600.0,30.75,36.85,0.582,0.1451,q1_q17_dr25_koi,1.088e-05,-1.088e-05,0.000517,-0.000517,0.262,-0.052,0.0241,-0.0241,33.3,-33.3,0.000913,-0.000428,0.11507,-0.51226,0.22,-0.49,1.2,-1.2,20.457163,137.44981,161.9,3,69.0,5031.0,4.485,0.16,0.848,0.801,q1_q17_dr25_stellar,75.0,-83.0,0.083,-0.028,0.15,-0.15,0.033,-0.072,0.052,-0.03,286.99948,48.37579,15.841,16.559,15.77,15.534,15.368,14.363,13.868,13.785,0.0,0.0,,,,,,0.036,0.044,0.054,19.1332989,48.375778,0.033,-0.044,0.00026,0.00049,0.063,0.041,-0.015,0.044,0.005,0.03,0.031
11446443,K00001.01,CONFIRMED,2.470613377,122.763305,2454955.763,0.818,1.74319,14230.9,0.123871,1.83538,LS+MCMC,13.04,0.0354,84.41,1339.0,761.46,8.3977,0.3928,0.2676,q1_q17_dr25_koi,2.7e-08,-2.7e-08,8.7e-06,-8.7e-06,0.001,-0.001,0.00107,-0.00107,4.2,-4.2,5.1e-05,-7.1e-05,0.00587,-0.00846,0.51,-0.51,0.0269,-0.0269,544.1701,6468.04,4304.3,1,432.0,5820.0,4.457,-0.06,0.964,0.971,q1_q17_dr25_stellar,78.0,-78.0,0.024,-0.024,0.15,-0.15,0.038,-0.038,0.062,-0.056,286.80847,49.316399,11.338,11.736,11.275,11.168,11.126,10.232,9.92,9.846,0.0,0.0,,,,,,0.02,0.026,0.022,19.12056404,49.31642961,-0.0232,0.1066,-0.00012,0.00078,0.0,-0.009,-0.3,0.3,0.015,-0.27,0.27
10666592,K00002.01,CONFIRMED,2.204735417,121.3585417,2454954.359,0.224,3.88864,6674.7,0.075522,0.37936,LS+MCMC,16.1,0.0376,87.21,2048.0,4148.92,4.602,0.2958,0.3168,q1_q17_dr25_koi,4.3e-08,-4.3e-08,1.6e-05,-1.6e-05,0.159,-0.216,0.00203,-0.00203,1.7,-1.7,0.000298,-0.00035,0.02846,-0.02633,0.81,-0.91,0.345,-0.345,232.27,3862.1846,5945.9,1,611.0,6440.0,4.019,0.14,1.952,1.449,q1_q17_dr25_stellar,76.0,-89.0,0.033,-0.027,0.15,-0.15,0.099,-0.11,0.07,-0.091,292.24728,47.969521,10.463,10.935,10.49,,,9.555,9.344,9.334,0.0,0.0,,,,,,0.03,0.029,0.018,19.483163025,47.96930831,0.3986,-0.7585,-0.001754,,,2.22,-3.29,3.97,2.02,-3.67,4.19
